company,yearsAgree,confidence,yearFounded,yearFounded2,link1,link2
Cpdax,0.0,2.0,2017.0,2014.0,https://www.cryptowisser.com/exchange/cpdax/,https://www.coinplug.com/
Coinzest,0.0,2.0,2018.0,2017.0,https://www.coingecko.com/en/exchanges/coinzest,https://www.whois.com/whois/coinzest.co.kr
Coinsuper,0.0,2.0,2017.0,2018.0,https://www.crunchbase.com/organization/coinsuper#section-overview,https://coinmarketcap.com/rankings/exchanges/
Coinsbank,0.0,2.0,2016.0,2013.0,https://www.crunchbase.com/organization/coinsbank,https://www.linkedin.com/company/coinsbank/
Coinhub,0.0,2.0,2013.0,2017.0,https://www.crunchbase.com/organization/coinhub,https://www.coinhub.io/en/about
Coingi,0.0,2.0,2009.0,2016.0,https://bitcoinexchangeguide.com/coingi/,https://coingi.com/news/201609151145-the-launch-date-of-the-service-is-closer-than-you-think
Coinfloor,0.0,2.0,2013.0,2012.0,https://www.linkedin.com/company/coinfloor-limited/,https://coinfloor.co.uk/about-us
Coinegg,0.0,2.0,2015.0,2017.0,https://www.coinegg.com/cms/view?id=971.html,https://cryptowiki.com/CoinEgg
Bytex,0.0,2.0,2018.0,1980.0,https://bytexsupport.zendesk.com/hc/en-us/articles/360003460752-Q-%EC%88%98%EC%88%98%EB%A3%8C-%EC%A0%95%EC%B1%85,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=25905
Btctrade-Im,0.0,2.0,2017.0,2013.0,,https://digiconomist.net/exchange-review-btc-trade
Bittrex,0.0,2.0,2013.0,2014.0,https://en.wikipedia.org/wiki/Bittrex,https://bittrex.zendesk.com/hc/en-us/articles/115003684411-ABOUT-US
Bitshares-Asset-Exchange,0.0,2.0,2015.0,2011.0,https://coinclarity.com/exchange/bitshares-asset-exchange/,https://coinclarity.com/exchange/bitshares-asset-exchange/
Bitmax,0.0,2.0,1998.0,2018.0,https://www.linkedin.com/company/bitmax/,https://bitmax.io/static/whitePaper_EN.pdf
Bitflyer,0.0,2.0,2016.0,2014.0,https://bitflyer.com/en-us/aboutus,https://www.linkedin.com/company/bitflyer-inc-/
